source_id,suitability_score,lcdb_class_2023,subzone,territorial_authority
64443318-9c40-412a-a712-018ea6360b38,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
5af9736e-3b61-4a9c-9cc4-a4548ed2de1f,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
2f0f49b4-3754-443c-a9e9-76d9782ac7ff,9.6,Indigenous Forest,,Western Bay of Plenty District
329837f1-3780-43cd-8fea-32d61126cb4b,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
52cde312-2e2d-43f7-9765-46f47b8f69b1,8.0,High Producing Exotic Grassland,,Whakatane District
4605386,9.6,Indigenous Forest,,Western Bay of Plenty District
4605592,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4606082,9.6,Indigenous Forest,,Western Bay of Plenty District
4607170,8.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
532c8c06-a016-4b67-8264-c2ed09a45a07,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
14a8d164-d792-405d-8a8a-32ed0a6eedce,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4606674,10.0,High Producing Exotic Grassland,,Whakatane District
89d44f51-7e5f-4ac9-8426-35ecb8177139,10.0,High Producing Exotic Grassland,,Tauranga City
c95da42a-82bf-4eea-98f6-3cfdcd9426c2,8.0,High Producing Exotic Grassland,,Whakatane District
81618cf0-0c2c-4c73-808a-7c8deca66404,10.0,High Producing Exotic Grassland,,Whakatane District
7908be26-1791-4a42-9a3f-be0fd63173aa,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
34a6ccda-2aef-4d1c-afa3-83a2339c4707,8.0,High Producing Exotic Grassland,,Whakatane District
506a6d33-710f-4810-a2a3-a7e8cbe9e02d,8.0,High Producing Exotic Grassland,,Whakatane District
35c2b9de-372d-4fef-ad9d-ef6fb2685b2d,10.0,High Producing Exotic Grassland,,��p��tiki District
886fae11-bff8-44ce-9305-0e7a87bf12f5,10.0,High Producing Exotic Grassland,,Whakatane District
db56a233-eec5-48ef-9a1e-b01797a030c6,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
933add8b-5655-49f9-a163-711f0acfe43d,8.0,High Producing Exotic Grassland,,Whakatane District
7673348,10.0,High Producing Exotic Grassland,,Tauranga City
4605905,8.0,Exotic Forest,,Whakatane District
4607228,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
b872c631-e15d-445a-8bf0-7e43b426017f,8.0,High Producing Exotic Grassland,,Whakatane District
2c4fd539-7647-40c0-b7c6-29444ed7e2d0,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
4388773,10.0,High Producing Exotic Grassland,,Tauranga City
4606654,9.6,Indigenous Forest,Tauranga,Western Bay of Plenty District
4606923,10.0,Low Producing Grassland,,Whakatane District
4330318,8.0,River,,Whakatane District
4385632,10.0,Indigenous Forest,,Western Bay of Plenty District
4402597,8.0,High Producing Exotic Grassland,,Whakatane District
4417678,10.0,Low Producing Grassland,,Whakatane District
4501535,8.0,High Producing Exotic Grassland,,Whakatane District
7682185,10.0,Built-up Area (settlement),,Western Bay of Plenty District
dbc5e76b-4060-4653-bd5b-100ce79f886d,8.0,Exotic Forest,,Western Bay of Plenty District
6da1d9fb-d491-4b0b-a10a-330e1bb632a4,8.4,High Producing Exotic Grassland,,��p��tiki District
4607698,8.0,Exotic Forest,,Whakatane District
b9af8494-08d6-4ab7-b168-e92b4764423b,8.0,High Producing Exotic Grassland,,Whakatane District
4606799,10.0,Indigenous Forest,,Western Bay of Plenty District
4571488,8.2,Exotic Forest,,Whakatane District
4606594,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
GS5A/1438,8.4,Short-rotation Cropland,,��p��tiki District
eb009869-0221-461f-9c13-73cc9a3d4157,8.0,Gorse and/or Broom,,Whakatane District
53599ce2-0eaa-4bf8-b80d-d349ae614360,10.0,Exotic Forest,,Whakatane District
3aff465a-1c7c-4566-a746-fbabced3ef77,8.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
4606997,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
8498655,10.0,Indigenous Forest,,Western Bay of Plenty District
4607106,10.0,Indigenous Forest,Tauranga,Western Bay of Plenty District
a498efc5-c07d-4850-a130-2b53dcded61e,8.4,Manuka and/or Kanuka,,��p��tiki District
