source_id,subzone,soil_order,soil_texture,soil_drainage,soil_depth,suitability_score,suitability_level,territorial_authority,area_m2,lat,lon
64443318-9c40-412a-a712-018ea6360b38,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,12798.9,-37.733448,176.126577
329837f1-3780-43cd-8fea-32d61126cb4b,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,193672.9,-37.870779,176.399253
4605592,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,24790.2,-37.815857,176.031861
532c8c06-a016-4b67-8264-c2ed09a45a07,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,10003.4,-37.83774,176.055352
4606674,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,37646.1,-37.896558,176.641154
89d44f51-7e5f-4ac9-8426-35ecb8177139,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,74011.4,-37.716556,176.23893
81618cf0-0c2c-4c73-808a-7c8deca66404,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,277907.2,-37.87748,176.69216
7908be26-1791-4a42-9a3f-be0fd63173aa,,Pumice,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,20819.9,-37.768306,176.458583
35c2b9de-372d-4fef-ad9d-ef6fb2685b2d,,Pumice,Loamy,Well drained,Deep,10,Excellent,��p��tiki District,16702.3,-38.034283,177.231289
886fae11-bff8-44ce-9305-0e7a87bf12f5,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,59206.9,-37.948535,176.729809
db56a233-eec5-48ef-9a1e-b01797a030c6,,Pumice,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,34802,-37.865811,176.153774
19587a95-6290-4fbf-8b8d-7616a8edcbef,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,33520.5,-37.712915,176.091305
7673348,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,12342.3,-37.717076,176.286402
4606926,Katikati,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,35200.2,-37.561269,175.907052
4607228,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,77595.8,-37.736397,176.058609
2c4fd539-7647-40c0-b7c6-29444ed7e2d0,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,21513.6,-37.721053,176.142841
4388773,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,16187.7,-37.717532,176.241602
4606923,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,102327.9,-37.911029,176.658551
4385632,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,20788.3,-37.659102,175.957271
4417678,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,81351,-37.911402,176.659646
7682185,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,259137.7,-37.513225,175.974692
4606799,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,20381.3,-37.56916,175.906569
4606594,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,45593.9,-37.73004,176.228871
e766a2c1-83db-44ae-a496-c679648a00da,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,23276.3,-37.710778,176.244707
53599ce2-0eaa-4bf8-b80d-d349ae614360,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,155716.5,-37.932945,176.677975
4606997,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,17647.7,-37.875149,176.396809
8498655,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,10754.8,-37.746082,176.24545
4607106,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,41482.3,-37.832524,176.110242
a60ec5a8-045d-4a50-b115-4ecde1e86e85,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,23276.3,-37.710778,176.244707
fe468ff9-da9d-46f8-b03c-9f116387c483,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,28399,-37.874931,176.65015
4606277,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,39429.5,-37.499134,175.919755
8bcfc843-824e-49f4-9dd5-93c460843b49,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,10800.1,-37.829611,176.077131
4588926,,Pumice,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,17221.8,-37.796051,176.389357
4393373,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,15060.1,-37.711138,176.157415
4603227,Te Puke,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,17164.3,-37.819651,176.251615
4581078,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,16257.9,-37.824598,176.021089
4574958,Te Puke,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,30910.9,-37.844515,176.233922
4604646,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,17181.3,-37.909953,176.20701
4603342,Te Puke,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,22148.6,-37.857985,176.253613
6634418,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,11193.2,-37.692259,176.11611
7612600,,Pumice,Loamy,Well drained,Deep,10,Excellent,Whakatane District,16796.9,-37.921841,176.693171
7737077,Te Puke,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,10910.4,-37.781729,176.316465
4151698,,Pumice,Loamy,Well drained,Deep,10,Excellent,��p��tiki District,33648.1,-37.995001,177.38753
4589363,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,13751.5,-37.754803,176.16749
7645592,,Pumice,Loamy,Well drained,Deep,10,Excellent,��p��tiki District,20665.8,-38.016598,177.173442
6829368,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,47649,-37.722788,176.116227
7426402,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,17342.4,-37.743474,176.200707
3350eaee-ef3c-4809-8610-0eeaaab48bd5,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,70934.2,-37.687567,176.1131
7699132,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,16109.4,-37.762296,176.110537
6547102,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,11735.3,-37.76059,176.132946
4150048,,Pumice,Loamy,Well drained,Deep,10,Excellent,��p��tiki District,48461.6,-38.056457,177.240873
4db0bece-0bbc-4fbe-8cc4-d6d33f65833a,Katikati,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,38499.5,-37.541466,175.930472
4586980,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,18325.2,-37.83154,176.120402
4603948,,Allophanic,Loamy,Well drained,Deep,10,Excellent,Western Bay of Plenty District,38854.7,-37.761571,176.047646
4582469,Tauranga,Allophanic,Loamy,Well drained,Deep,10,Excellent,Tauranga City,11749.6,-37.718809,176.115799
